sequence	stool-2DSS__10	stool-2DSS__11	stool-2DSS__12	stool-2DSS__13	stool-2DSS__14	stool-2DSS__16	stool-2DSS__18	stool-2DSS__19	stool-2DSS__1	stool-2DSS__21	stool-2DSS__23	stool-2DSS__24	stool-2DSS__25	stool-2DSS__27	stool-2DSS__28	stool-2DSS__2	stool-2DSS__30	stool-2DSS__3	stool-2DSS__5	stool-2DSS__6	stool-2DSS__7	stool-2DSS__8	stool-2DSS__9	stool-3DSS__11	stool-3DSS__16	stool-3DSS__21	stool-3DSS__22	stool-3DSS__23	stool-3DSS__24	stool-3DSS__26	stool-3DSS__27	stool-3DSS__29	stool-3DSS__2	stool-3DSS__30	stool-3DSS__7	stool-4DSS__16	stool-4DSS__1	stool-4DSS__23	stool-4DSS__24	stool-4DSS__6
ASV93:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	52	0	0	0	99	91	22	65	78	0	0	0	0	0	0	0	0	124	59	0	104	59	113	0	0	0	0	0	0	0	0	0	0	92	0	37	0	57	0	63
ASV94:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis(AY126616)	51	34	0	0	0	0	0	0	0	0	0	0	0	20	0	28	0	0	22	64	0	42	35	0	0	0	0	0	0	0	0	0	0	33	0	23	0	22	39	0
ASV95:p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis(AP009256)	51	33	0	0	0	0	0	0	41	0	0	26	0	0	0	0	0	27	0	41	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV96:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_bromii(L76600)	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	28	0	0	44	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	36	0
ASV97:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	48	0	0	0	0	0	38	0	43	0	0	76	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV98:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	47	0	0	0	36	89	43	0	0	0	0	0	0	0	0	144	0	402	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
ASV99:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	43	0	0	0	44	49	117	0	0	0	0	0	0	0	0	147	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV100:p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_invisus(AY162469)	43	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	17	0	0	18	0	0	0	27	29	0
ASV101:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__NA	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV102:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius(AB200217)	40	35	0	12	0	11	0	0	0	19	0	0	0	0	0	0	0	27	29	59	0	0	57	0	0	0	0	0	0	0	0	0	0	36	0	32	0	39	31	0
ASV103:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	40	0	0	20	30	82	88	40	26	41	23	146	0	0	0	63	0	46	0	0	29	0	0	0	0	0	0	0	0	0	49	0	0	49	0	20	0	62	18	88
ASV104:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV105:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_merdae(AB238928)	39	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	15	61	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	37	0	29	36	20
ASV106:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV;s__NA	39	0	0	0	72	16	38	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	59	0	0	0	0	0	39
ASV107:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	38	20	0	0	0	0	20	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV108:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__NA	37	20	0	0	0	8	0	10	26	0	0	0	0	12	0	10	0	13	0	27	0	20	0	0	0	0	0	0	0	0	0	0	0	25	0	22	0	12	24	0
ASV109:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	37	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV110:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0
ASV111:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii(AJ413954)	37	0	0	0	0	0	0	0	21	19	0	0	0	16	0	0	0	0	0	39	0	21	40	0	0	0	0	0	0	0	13	0	0	24	0	25	0	16	23	0
ASV112:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV113:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	34	0	0	0	29	0	0	0	0	0	0	0	0	0	0	221	0	37	0	0	285	92	0	0	0	0	0	0	0	0	0	0	0	70	0	38	0	63	82	34
ASV114:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	33	0	0	79	0	71	798	0	76	0	0	58	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233
ASV115:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV;s__NA	32	0	0	0	0	279	35	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0
ASV116:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	32	0	0	26	0	13	12	7	0	0	10	20	0	12	0	18	0	14	0	37	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	17	28	12
ASV117:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_goldsteinii(AY974070)	31	50	0	8	11	61	52	106	0	30	10	95	0	17	0	10	0	100	0	104	238	181	61	0	0	0	0	0	0	0	105	0	0	85	0	97	0	96	173	0
ASV118:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__Odoribacter_splanchnicus(L16496)	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	18	0	0	0	15	0	0
ASV119:p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__NA	30	2130	0	0	0	187	16	1178	63	6597	0	11	0	4018	0	0	0	437	1554	1951	23	2487	1585	0	0	0	0	0	0	0	0	0	0	146	0	1989	0	1052	1102	0
ASV120:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__NA	30	0	0	0	15	113	46	33	0	0	0	44	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV121:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	29	8	0	0	0	34	27	114	18	0	17	26	0	0	0	12	0	13	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	25	0	0	0	7	0	0
ASV122:p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__Akkermansia_muciniphila(AY271254)	26	723	0	0	0	0	69	2537	18	1121	0	617	0	1817	0	0	0	124	199	231	0	1160	1632	0	0	0	0	0	0	0	16	0	0	1673	0	1446	0	3314	1513	89
ASV123:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Incertae Sedis XIII;g__Anaerovorax;s__NA	24	0	0	0	0	20	0	139	0	0	11	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV124:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	22	0	0	20	145	0	30	15	0	0	28	60	0	0	0	0	0	62	0	0	43	30	47	0	0	0	0	0	0	0	248	0	0	456	0	28	0	0	0	0
ASV125:p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__NA	19	92	0	0	13	24	30	253	24	35	20	0	0	190	0	0	0	471	102	82	0	149	211	0	0	0	0	0	0	0	0	0	0	126	0	686	0	154	370	8
ASV126:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas;s__NA	18	0	0	0	0	0	16	0	23	0	33	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV127:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__NA	17	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV128:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	15	0	0	0	19	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV129:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	13	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
ASV130:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola(AB200224)	13	20	0	0	0	11	0	0	0	0	0	12	0	12	0	0	0	0	8	46	0	0	22	0	0	0	0	0	0	0	0	0	0	14	0	0	0	23	26	14
ASV131:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__NA;s__NA	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	23	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV132:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter;s__NA	12	0	0	0	0	0	0	19	0	0	0	55	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV133:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA;s__NA	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV134:p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__NA;g__NA;s__NA	10	8	0	0	31	15	23	72	0	109	20	41	0	0	0	25	0	41	0	0	0	45	49	0	0	0	0	0	0	0	38	0	0	180	0	131	0	52	29	17
ASV135:p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__NA	9	0	0	9	0	0	0	0	7	0	0	7	0	7	0	0	0	0	7	17	0	0	15	0	0	0	0	0	0	0	7	0	0	8	0	0	0	14	15	0
ASV136:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV137:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA;g__NA;s__NA	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0
ASV138:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__NA	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV139:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV140:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae 1;g__Clostridium sensu stricto;s__Clostridium_perfringens(CP000246)	0	1249	0	0	0	0	0	264	0	2278	0	0	0	2502	0	0	0	150	174	1031	0	351	207	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
ASV141:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium XI;s__NA	0	1214	0	0	0	0	0	0	0	1306	0	0	0	567	0	0	0	0	0	149	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV142:p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__NA	0	866	0	0	0	0	0	135	0	603	0	0	0	2347	0	0	0	1260	322	1636	0	442	1024	0	0	0	0	0	0	0	0	0	0	445	0	3173	0	207	883	0
ASV143:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV144:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__NA	0	332	0	0	0	0	0	292	0	479	109	0	0	248	0	0	0	97	253	180	312	396	149	0	0	0	0	0	0	0	0	0	0	437	0	166	0	159	42	0
ASV145:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_acidifaciens(AB021164)	0	275	0	0	0	413	0	898	0	234	0	0	0	257	0	0	0	828	788	1625	0	4098	878	0	0	0	0	0	0	0	0	0	0	1139	0	1052	0	1764	2315	0
ASV146:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii(AY643083)	0	152	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	35	0	0	49	55	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV147:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_timonensis(NR_144740.1)	0	138	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	67	0	0	287	0	0	0	0	0	0	0	0	0	0	634	0	526	0	597	52	0
ASV148:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__NA	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	46	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV149:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae 1;g__Clostridium sensu stricto;s__NA	0	87	0	0	0	0	0	294	0	1105	0	0	0	0	0	0	0	130	104	34	0	1117	625	0	0	0	0	0	0	0	0	0	0	172	0	585	0	322	35	0
ASV150:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__NA	0	70	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV151:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0
ASV152:p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__NA	0	31	0	0	0	0	0	71	0	149	0	0	0	185	0	0	0	61	54	184	0	257	141	0	0	0	0	0	0	0	0	0	0	3138	0	287	0	290	229	0
ASV153:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_champanellensis(AJ515913)	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV154:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis(AJ312385)	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV155:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus(FR749934)	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV156:p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini(AF473835)	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	23	27	0
ASV157:p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium XVIII;s__NA	0	15	0	0	0	0	0	0	26	0	0	0	0	13	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV158:p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__"Parasutterella_excrementihominis(AB370250)	0	8	0	10	0	0	0	9	20	0	0	0	0	0	0	0	0	14	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	25	0	0	0	18	15	0
ASV159:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV160:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__NA	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV161:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae 1;g__Clostridium sensu stricto;s__NA	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV162:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV163:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	7940	0	0	0	0	0	0	0	0	0	5118	0	0	0	0	0	0	0	0	0	0	2	95	3	0	426	2081	0	0	902	16	0	350	0	0	0	0	0
ASV164:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	1995	0	0	0	0	0	0	0	0	0	3151	0	0	0	4	0	0	0	0	0	0	313	576	77	0	3643	1231	182	0	4105	248	0	1096	0	210	0	0	0
ASV165:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	1049	0	0	0	0	0	0	0	0	0	1107	0	114	0	46	0	0	0	0	0	0	46	479	22	0	416	350	0	0	374	137	0	63	0	0	0	0	0
ASV166:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	781	0	0	0	0	0	0	0	0	0	914	0	80	0	0	0	0	0	0	0	0	0	397	0	0	336	331	0	0	279	89	0	51	0	0	0	0	0
ASV167:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	294	0	0	0	0	0	0	0	0	0	124	0	3	0	34	0	0	0	0	0	0	3	88	7	0	53	374	0	0	570	28	0	876	0	5	0	0	0
ASV168:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	201	0	0	0	0	0	0	0	0	0	147	0	763	0	1875	0	0	0	0	0	0	1039	7	1091	914	62	26	773	0	38	907	0	18	0	1792	0	0	0
ASV169:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	180	0	0	0	0	0	0	0	0	0	179	0	316	0	34	0	0	0	0	0	0	28	145	87	43	0	0	95	0	305	51	0	48	0	61	0	0	0
ASV170:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV171:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	122	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	97	0	14	40	136	46	0	0	0	0	421	0	0	0	0	0
ASV172:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	86	0	0	0	0	0	0	0	0	0	184	0	12	0	0	0	0	0	0	0	0	28	257	0	0	684	423	0	0	556	13	0	10	0	0	0	0	0
ASV173:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	76	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	222	0	0	56	604	0	0	366	0	0	395	0	0	0	0	0
ASV174:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	74	0	0	0	0	0	0	0	0	0	121	0	30	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	59	0	0	42	0	0	0	0	0
ASV175:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	93	1632	0	0	829	0	0	692	0	0	0	0	0
ASV176:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	60	0	0	0	0	0	0	0	0	0	13	0	133	0	31	0	0	0	0	0	0	114	10	21	16	41	17	28	0	5	190	0	0	0	32	0	0	0
ASV177:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	57	0	0	0	0	0	0	0	0	0	589	0	438	0	0	0	0	0	0	0	0	49	53	0	0	146	396	0	0	322	497	0	0	0	20	0	0	0
ASV178:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	55	0	0	0	0	0	0	0	0	0	17	0	99	0	425	0	0	0	0	0	0	46	490	139	154	90	324	415	0	631	155	0	52	0	412	0	0	0
ASV179:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	52	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	1651	0	0	0	0	0	0	0	0	1967	0	0	0	0	0	0	0
ASV180:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV181:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	49	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	10	0	0	35	0	0	19	0	0	0	0	0
ASV182:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	47	0	0	0	0	0	0	0	0	0	40	0	41	0	3	0	0	0	0	0	0	18	0	0	3	20	12	0	0	0	25	0	0	0	7	0	0	0
ASV183:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	47	0	0	0	0	0	0	0	0	0	27	0	0	0	59	0	0	0	0	0	0	0	39	0	62	26	0	26	0	0	14	0	9	0	0	0	0	0
ASV184:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	46	0	0	0	0	0	0	0	0	0	81	0	131	0	72	0	0	0	0	0	0	86	68	61	37	167	19	17	0	9	29	0	6	0	38	0	0	0
ASV185:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	44	0	0	0	0	0	0	0	0	0	18	0	5267	0	350	0	0	0	0	0	0	151	50	69	28	81	0	39	0	9	45	0	0	0	150	0	0	0
ASV186:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	42	0	0	0	0	0	0	0	0	0	0	0	2299	0	5548	0	0	0	0	0	0	2707	0	1242	478	0	0	625	0	0	5486	0	0	0	1458	0	0	0
ASV187:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV188:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	41	0	0	0	0	0	0	0	0	0	20	0	0	0	444	0	0	0	0	0	0	203	92	100	143	0	0	127	0	12	403	0	48	0	394	0	0	0
ASV189:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	40	0	0	0	0	0	0	0	0	0	0	0	168	0	84	0	0	0	0	0	0	0	0	187	276	40	183	332	0	567	0	0	73	0	161	0	0	0
ASV190:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	38	0	0	0	0	0	0	0	0	0	33	0	188	0	199	0	0	0	0	0	0	9	0	0	0	0	0	45	0	0	0	0	0	0	50	0	0	0
ASV191:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	37	0	0	0	0	0	0	0	0	0	28	0	187	0	130	0	0	0	0	0	0	130	10	111	34	26	31	41	0	36	165	0	19	0	111	0	0	0
